Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Price,Duration_in_minute
IndiGo,2019-03-01,Banglore,Delhi,16:50:00,21:35:00,1,13302,285
SpiceJet,2019-06-24,Kolkata,Banglore,09:00:00,11:25:00,0,3873,145
Multiple carriers,2019-05-27,Delhi,Cochin,11:25:00,19:15:00,1,8625,470
Air Asia,2019-04-03,Banglore,Delhi,23:55:00,02:45:00,0,4483,170
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,1,14231,975
Air India,2019-06-06,Kolkata,Banglore,09:25:00,21:50:00,1,8366,745
Vistara,2019-05-24,Chennai,Kolkata,07:05:00,09:20:00,0,3687,135
IndiGo,2019-03-21,Delhi,Cochin,05:05:00,10:05:00,1,6893,300
IndiGo,2019-04-03,Mumbai,Hyderabad,06:25:00,07:55:00,0,4049,90
Air India,2019-04-21,Kolkata,Banglore,20:45:00,23:20:00,0,4880,155
Jet Airways,2019-06-18,Mumbai,Hyderabad,07:05:00,08:30:00,0,8040,85
Multiple carriers,2019-03-03,Delhi,Cochin,15:25:00,01:35:00,1,15147,610
Air India,2019-05-21,Kolkata,Banglore,12:00:00,11:10:00,2,10676,1390
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,08:15:00,1,13044,1090
Air India,2019-03-21,Banglore,Delhi,11:50:00,19:50:00,1,5932,480
IndiGo,2019-06-15,Kolkata,Banglore,20:25:00,23:10:00,0,4804,165
Air India,2019-06-27,Delhi,Cochin,22:00:00,19:15:00,2,10441,1275
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,23:35:00,1,10844,1655
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,20:45:00,1,14781,740
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,08:15:00,1,8586,735
IndiGo,2019-03-24,Banglore,Delhi,00:40:00,03:25:00,0,4777,165
Air Asia,2019-06-12,Banglore,Delhi,11:10:00,13:55:00,0,3383,165
IndiGo,2019-03-03,Banglore,Delhi,12:10:00,17:05:00,1,8738,295
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,04:25:00,1,10262,1165
IndiGo,2019-04-24,Delhi,Cochin,05:35:00,08:50:00,0,5013,195
IndiGo,2019-03-27,Delhi,Cochin,16:00:00,01:35:00,1,7048,575
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,04:25:00,2,13014,1375
Air India,2019-06-06,Delhi,Cochin,14:25:00,19:15:00,2,13591,1730
Air India,2019-05-18,Delhi,Cochin,13:00:00,19:15:00,1,10191,375
Air Asia,2019-05-01,Kolkata,Banglore,10:20:00,12:55:00,0,4409,155
SpiceJet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,1,5264,270
SpiceJet,2019-03-21,Mumbai,Hyderabad,13:10:00,14:30:00,0,3173,80
IndiGo,2019-06-03,Banglore,Delhi,22:10:00,01:00:00,0,3359,170
IndiGo,2019-03-18,Kolkata,Banglore,09:35:00,12:20:00,0,4462,165
Multiple carriers,2019-06-12,Delhi,Cochin,07:10:00,16:10:00,1,6513,540
SpiceJet,2019-06-12,Kolkata,Banglore,15:55:00,21:25:00,1,8224,330
IndiGo,2019-05-18,Kolkata,Banglore,21:25:00,00:05:00,0,4804,160
Vistara,2019-06-27,Banglore,Delhi,07:00:00,09:40:00,0,4668,160
Air Asia,2019-05-12,Kolkata,Banglore,10:20:00,12:55:00,0,5216,155
Multiple carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,1,7198,390
SpiceJet,2019-03-24,Kolkata,Banglore,15:05:00,20:45:00,1,6197,340
Air India,2019-06-18,Delhi,Cochin,05:10:00,08:00:00,0,5201,170
Multiple carriers,2019-05-27,Delhi,Cochin,17:45:00,01:30:00,1,6795,465
IndiGo,2019-06-06,Kolkata,Banglore,22:15:00,00:50:00,0,4804,155
Vistara,2019-06-27,Banglore,Delhi,11:30:00,14:20:00,0,4668,170
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,04:45:00,1,14231,710
Multiple carriers,2019-06-06,Delhi,Cochin,07:30:00,19:00:00,1,12524,690
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,19:00:00,2,13292,1295
Air Asia,2019-05-09,Delhi,Cochin,07:55:00,13:25:00,1,6751,330
SpiceJet,2019-06-06,Banglore,Delhi,09:30:00,12:20:00,0,3919,170
Air India,2019-06-06,Delhi,Cochin,06:50:00,07:40:00,2,13381,1490
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,04:25:00,1,12898,1280
Jet Airways,2019-05-18,Delhi,Cochin,19:30:00,12:35:00,2,13014,1025
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,18:50:00,1,16289,1385
